Quadrant,Utterance,object,in,out,Bound to
2.0,1.0,Q4-C11-Re-Pr,A,,
2.0,2.0,New-Bl-Pr,TI,,
2.0,3.0,,,,
2.0,4.0,Q2-C32-Bl-Pr,"A,IF",,
2.0,4.0,Q4-C11-Re-Pr,,A,
2.0,5.0,Q4-C11-Gr-Cu,"A,IF",,
2.0,5.0,Q2-C32-Bl-Pr,,IF,
2.0,6.0,,,,
2.0,7.0,Q4-C33-Ye-Cu,"A,IF",,
2.0,7.0,Q4-C11-Gr-Cu,,IF,
2.0,7.0,Q4-C11-Re-Pr,,A,
2.0,8.0,,,,
2.0,9.0,Q4-C21-Gr-Rl,"A,IF",,
2.0,9.0,Q4-C23-Gr-Rl,"A,IF",,
2.0,9.0,Q4-C33-Ye-Cu,,IF,
2.0,9.0,Q4-C11-Gr-Cu,,A,
2.0,10.0,,,,
2.0,11.0,Q4-C11-Re-Pr,A,,
2.0,11.0,Q2-C32-Bl-Pr,A,,
2.0,11.0,Q4-C21-Gr-Rl,,IF,
2.0,11.0,Q4-C23-Gr-Rl,,IF,
2.0,11.0,Q4-C33-Ye-Cu,,F,
2.0,12.0,New-Gr-Cu,TI,,
2.0,12.0,Q4-C21-Gr-Rl,,,
2.0,12.0,Q4-C23-Gr-Rl,,,
2.0,13.0,Q4-C21-Gr-Rl,,A,
2.0,13.0,Q4-C23-Gr-Rl,,A,
2.0,14.0,,,,
2.0,15.0,,,,
,,,,,
,,,,,
3.0,1.0,,,,
3.0,2.0,Q2-C33-Ye-Pr,"A,IF",,Q2-C33-Ye-Pr
3.0,3.0,,,,
3.0,4.0,,,,
3.0,5.0,Q3-C32-Gr-Rl,"A,IF",,
3.0,5.0,Q2-C33-Ye-Pr,,IF,
3.0,6.0,Q3-C12-Re-Rl,"A,IF",,
3.0,6.0,Q3-C32-Gr-Rl,,IF,
3.0,7.0,Q2-C21-Gr-Pr,"A,IF",,Q2-C21-Gr-Pr
3.0,7.0,Q3-C12-Re-Rl,,IF,
3.0,8.0,,,,
3.0,9.0,Q3-C33-Gr-Cy,"A,IF",,
3.0,9.0,Q2-C21-Gr-Pr,,IF,
3.0,10.0,Q3-C12-Re-Rl,,A,
3.0,11.0,Q3-C32-Re-Cy,A,,
3.0,11.0,Q3-C33-Gr-Cy,,IF,
3.0,11.0,Q3-C23-Re-Cy,A,,
3.0,12.0,,,,
3.0,13.0,,,,
3.0,14.0,New-Bl-Pr,"A,IF",,
3.0,15.0,,,,
