,Quadrant,Utterance Number,Reference,Gesture Used,Object referenced,grammatical role
0,2,1.0,"So [the first piece] is going to be [another one of the long boxes in blue], ",N,New-Bl-Pr,nsubj
1,2,1.0,"So [the first piece] is going to be [another one of the long boxes in blue], ",IR,Q2-C32-Bl-Pr,False
2,2,2.0,And you have to look for [that piece].,N,Q2-C32-Bl-Pr,pobj
3,2,3.0,Yeah. So [that] goes down horizontally like this at the very left of [it].,N,Q2-C32-Bl-Pr,nsubj
4,2,3.0,Yeah. So [that] goes down horizontally like this at the very left of [it].,IR,Q2-C32-Bl-Pr,pobj
5,2,4.0,"And then, to the right of [that] is [a green cube], like [that piece]. Yeah.",IR,Q2-C32-Bl-Pr,pobj
6,2,4.0,"And then, to the right of [that] is [a green cube], like [that piece]. Yeah.",IR,New-Gr-Cu,attr
7,2,4.0,"And then, to the right of [that] is [a green cube], like [that piece]. Yeah.",DS,Q4-C11-Gr-Cu,pobj
8,2,5.0,And [it] goes to the right of [the blue].,N,Q4-C11-Gr-Cu,nsubj
9,2,5.0,And [it] goes to the right of [the blue].,A,Q2-C32-Bl-Pr,False
10,2,6.0,"Okay. And then to the right of [the green cube], is [a yellow cube] like this.",A,Q4-C11-Gr-Cu,pobj
11,2,6.0,"Okay. And then to the right of [the green cube], is [a yellow cube] like this.",DS,Q4-C33-Ye-Cu,attr
12,2,7.0,"Okay. And then on top of [each of the cubes], it's [a cube with the same color].",DS,"Q4-C11-Gr-Cu, Q4-C33-Ye-Cu",pobj
13,2,7.0,"Okay. And then on top of [each of the cubes], it's [a cube with the same color].",A,"New-Gr-Cu, New-Ye-Cu",pobj
14,2,8.0,So you have [the cube] on top of [this yellow].,DS,Q2-C12-Ye-Cu,dobj
15,2,8.0,So you have [the cube] on top of [this yellow].,N,Q4-C33-Ye-Cu,False
16,2,9.0,And [green cube] on top of [that]. ,N,Q1-C33-Gr-Cu,False
17,2,9.0,And [green cube] on top of [that]. ,DS,Q4-C11-Gr-Cu,pobj
18,2,10.0,So you have to look for [this].,N,"Q2-C12-Ye-Cu, Q1-C33-Gr-Cu",pobj
19,2,11.0,Okay. And then [the same color] stack on top of [the same ones].,N,"Q2-C12-Ye-Cu, Q1-C33-Gr-Cu",False
20,2,11.0,Okay. And then [the same color] stack on top of [the same ones].,N,"Q4-C11-Gr-Cu, Q4-C33-Ye-Cu",pobj
21,2,12.0,"Okay. And then to the right of [the cubes] are [two tall rectangles in green], like [those].",DS,"Q1-C33-Gr-Cu, Q4-C11-Gr-Cu",pobj
22,2,12.0,"Okay. And then to the right of [the cubes] are [two tall rectangles in green], like [those].",A,New-Gr-Rl,False
23,2,12.0,"Okay. And then to the right of [the cubes] are [two tall rectangles in green], like [those].",DP,Q4-C21-Gr-Rl,pobj
24,2,13.0,And [those] are stacked vertically next to [one another].,N,"Q4-C21-Gr-Rl, Q4-C23-Gr-Rl",nsubjpass
25,2,13.0,And [those] are stacked vertically next to [one another].,N,"Q4-C21-Gr-Rl, Q4-C23-Gr-Rl",False
26,2,14.0,And on top of [the blue rectangle] is [a red rectangle in the same shape].,DS,Q2-C32-Bl-Pr,pobj
27,2,14.0,And on top of [the blue rectangle] is [a red rectangle in the same shape].,N,New-Re-Pr,pobj
28,2,15.0,Like [that one].,DS,Q4-C11-Re-Pr,False
29,,,,,,input manually
30,3,1.0,Okay. So it's going to start with [a long rectangle piece of...or a rectangle cube of yellow].,IR,New-Ye-Pr,pobj
31,3,2.0,"Yeah. [That's] not here, so look for, like [a long rectangle that's cube].",N,Q2-C23-Ye-Pr,nsubj
32,3,2.0,"Yeah. [That's] not here, so look for, like [a long rectangle that's cube].",IR,Q2-C23-Ye-Pr,attr
33,3,3.0,"Yeah, like [that].",N,Q2-C23-Ye-Pr,pobj
34,3,4.0,Okay. And [that's] going to stack vertically at the very left of [it].,N,Q2-C23-Ye-Pr,nsubj
35,3,4.0,Okay. And [that's] going to stack vertically at the very left of [it].,N,Q2-C23-Ye-Pr,pobj
36,3,5.0,And then next to [it] is going to be [a long green peice] like this.,N,Q2-C23-Ye-Pr,pobj
