,Quadrant,Utterance Number,Reference,Gesture Used,Object referenced,Unnamed: 5,grammatical role
0,2,1.0,Take [this yellow cube].,DP,Q4-C22-Ye-Cu,,dobj
1,2,2.0,And just move [it] to the center.,N,Q4-C22-Ye-Cu,,dobj
2,2,3.0,And then take [this yellow cube].,DS,Q4-C21-Ye-Cu,,dobj
3,2,4.0,And stack [it] on top.,N,Q4-C21-Ye-Cu,"""On top"" is an inderect/implied refernce",dobj
4,2,5.0,Take [this green cube].,DP,Q4-C32-Gr-Cu,,dobj
5,2,6.0,And put [it] to the left.,N,Q4-C32-Gr-Cu,,dobj
6,2,7.0,And now take [that other green cube].,DS,Q4-C11-Gr-Cu,,dobj
7,2,8.0,And stack [it] on top.,N,Q4-C11-Gr-Cu,,dobj
8,2,9.0,"Now, take [this green rectangle].",DS,Q4-C31-Gr-Rl,,dobj
9,2,10.0,And put [it] to the right of [the yellow cubes].,N,Q4-C31-Gr-Rl,,dobj
10,2,10.0,And put [it] to the right of [the yellow cubes].,DS,"Q4-C21-Ye-Cu, Q4-C22-Ye-Cu",,pobj
11,2,11.0,And then can you go to a different quadrant and find [an identical green rectangle] {gestures}?,N,New-Gr-Rl,,dobj
12,2,11.0,And then can you go to a different quadrant and find [an identical green rectangle] {gestures}?,DS,Q4-C31-Gr-Rl,,NI
13,2,12.0,And can you put [it] right up against [that first one]?,N,Q1-C31-Gr-Rl,,dobj
14,2,12.0,And can you put [it] right up against [that first one]?,DS,Q4-C31-Gr-Rl,,NI
15,2,13.0,"Can you go to a different quadrant and find, like, {gestures} [a cubic rectangle, but blue].",DP,Q4-C33-Re-Pr,,NI
16,2,13.0,"Can you go to a different quadrant and find, like, {gestures} [a cubic rectangle, but blue].",N,New-Bl-Pr,,dobj
17,2,14.0,"And then put [it] to the left of [the green, long ways].",N,Q3-C12-Bl-Pr,,dobj
18,2,14.0,"And then put [it] to the left of [the green, long ways].",N,"Q4-C11-Gr-Cu, Q4-C32-Gr-Cu",,pobj
19,2,15.0,And then take [this red rectangle]. And stack it on top of [the blue].,DS,Q4-C13-Re-Pr,,dobj
20,2,15.0,And then take [this red rectangle]. And stack it on top of [the blue].,,Q3-C12-Bl-Pr,,NI
21,,,,,,,
22,3,1.0,Ok. Can you move [those two blocks] out of the way?,DS,"Q3-C22-Ye-Cu, Q3-C22-Gr-Pr",,dobj
23,3,2.0,"So can you go find [[that block], but in green]? [One of the longer rectangles].",DS,Q3-C12-Re-Rl,,NI
24,3,2.0,"So can you go find [[that block], but in green]? [One of the longer rectangles].",N,New-Gr-Rl,,NI
25,3,2.0,"So can you go find [[that block], but in green]? [One of the longer rectangles].",N,Q3-C12-Re-Rl,,NI
26,3,3.0,And then just put [it] flat.,N,Q2-C23-Gr-Rl,,dobj
27,3,4.0,And then take [the red rectangle] and put [it] flat on top.,DS,Q3-C12-Re-Rl,,dobj
28,3,4.0,And then take [the red rectangle] and put [it] flat on top.,DS,Q3-C12-Re-Rl,,dobj
