,Quadrant,Utterance Number,Reference,Gesture Used,Object referenced,grammatical role
0,2,1.0,"All right. So . We're going to need [two green cubes] {gesture}, [a blue rectangular prism]{gesture}, and [a red and [yellow flat slab]] like [this blue piece].",N,"New-Gr-Cu1, New-Gr-Cu2, Q3-C32-Gr-Cu",dobj
1,2,1.0,"All right. So . We're going to need [two green cubes] {gesture}, [a blue rectangular prism]{gesture}, and [a red and [yellow flat slab]] like [this blue piece].",DP,Q4-C22-Ye-Cu,False
2,2,1.0,"All right. So . We're going to need [two green cubes] {gesture}, [a blue rectangular prism]{gesture}, and [a red and [yellow flat slab]] like [this blue piece].",N,"New-Bl-Pr, Q2-C13-Bl-Pr",conj
3,2,1.0,"All right. So . We're going to need [two green cubes] {gesture}, [a blue rectangular prism]{gesture}, and [a red and [yellow flat slab]] like [this blue piece].",IR,Q4-C21-Re-Pr,pobj
4,2,1.0,"All right. So . We're going to need [two green cubes] {gesture}, [a blue rectangular prism]{gesture}, and [a red and [yellow flat slab]] like [this blue piece].",N,"New-Re-Rl, Q3-C33-Re-Rl",input manually
5,2,1.0,"All right. So . We're going to need [two green cubes] {gesture}, [a blue rectangular prism]{gesture}, and [a red and [yellow flat slab]] like [this blue piece].",N,New-Ye-Rl,input manually
6,2,1.0,"All right. So . We're going to need [two green cubes] {gesture}, [a blue rectangular prism]{gesture}, and [a red and [yellow flat slab]] like [this blue piece].",DP,Q4-C32-Bl-Rl,input manually
7,2,2.0,"That's possible off to dismantle something later, but in the meanwhile...",N,,input manually
8,2,3.0,"So on the left, you're going to take [the blue rectangle prism] and the... oriented so the flat side is facing down.",DS,Q2-C13-Bl-Pr,dobj
9,2,4.0,And put [a red rectangular prism] right on [it].,IR,Q4-C21-Re-Pr,dobj
10,2,4.0,And put [a red rectangular prism] right on [it].,N,Q2-C13-Bl-Pr,pobj
11,2,5.0,"Or [the red, the bigger rectangular prism, identical to [the blue one]]. Yep.",IR,Q4-C21-Re-Pr,appos
12,2,5.0,"Or [the red, the bigger rectangular prism, identical to [the blue one]]. Yep.",N,Q2-C13-Bl-Pr,input manually
13,2,6.0,"Right to the right of [that], you're going to take [two of the green cubes].",N,"Q2-C13-Bl-Pr, Q4-C21-Re-Pr",pobj
14,2,6.0,"Right to the right of [that], you're going to take [two of the green cubes].",IR,"Q3-C32-Gr-Cu, Q2-C31-Gr-Cu",pobj
15,2,7.0,And stack [them] on top of [each other].,N,"Q3-C32-Gr-Cu, Q2-C31-Gr-Cu",dobj
16,2,7.0,And stack [them] on top of [each other].,N,"Q3-C32-Gr-Cu, Q2-C31-Gr-Cu",False
17,2,8.0,So once more we are gonna need [another green cube].,N,Q2-C31-Gr-Cu,dobj
18,2,9.0,"Right next to [those two], you're going to put [two yellow cubes] stacked on top of [each other].",N,"Q3-C32-Gr-Cu, Q2-C31-Gr-Cu",False
19,2,9.0,"Right next to [those two], you're going to put [two yellow cubes] stacked on top of [each other].",N,"Q4-C12-Ye-Cu, Q4-C22-Ye-Cu",dobj
20,2,9.0,"Right next to [those two], you're going to put [two yellow cubes] stacked on top of [each other].",N,"Q4-C12-Ye-Cu, Q4-C22-Ye-Cu",False
21,2,10.0,"And next to [ those], [two of the thin green rectangular prisms], right there, and there.",N,"Q4-C12-Ye-Cu, Q4-C22-Ye-Cu",False
