,Quadrant,Utterance Number,Reference,Gesture Used,Object referenced,grammatical role
0,2,1.0,"All right. So . We're going to need [two green cubes] {gesture}, [a blue rectangular prism]{gesture}, and [a red and [yellow flat slab]] like [this blue piece].",N,"New-Gr-Cu1, New-Gr-Cu2, Q3-C32-Gr-Cu",dobj
1,2,1.0,"All right. So . We're going to need [two green cubes] {gesture}, [a blue rectangular prism]{gesture}, and [a red and [yellow flat slab]] like [this blue piece].",DP,Q4-C22-Ye-Cu,NI
2,2,1.0,"All right. So . We're going to need [two green cubes] {gesture}, [a blue rectangular prism]{gesture}, and [a red and [yellow flat slab]] like [this blue piece].",N,"New-Bl-Pr, Q2-C13-Bl-Pr",conj
3,2,1.0,"All right. So . We're going to need [two green cubes] {gesture}, [a blue rectangular prism]{gesture}, and [a red and [yellow flat slab]] like [this blue piece].",IR,Q4-C21-Re-Pr,pobj
4,2,1.0,"All right. So . We're going to need [two green cubes] {gesture}, [a blue rectangular prism]{gesture}, and [a red and [yellow flat slab]] like [this blue piece].",N,"New-Re-Rl, Q3-C33-Re-Rl",NI
5,2,1.0,"All right. So . We're going to need [two green cubes] {gesture}, [a blue rectangular prism]{gesture}, and [a red and [yellow flat slab]] like [this blue piece].",N,New-Ye-Rl,NI
6,2,1.0,"All right. So . We're going to need [two green cubes] {gesture}, [a blue rectangular prism]{gesture}, and [a red and [yellow flat slab]] like [this blue piece].",DP,Q4-C32-Bl-Rl,NI
7,2,2.0,"That's possible off to dismantle something later, but in the meanwhile...",N,,
8,2,3.0,"So on the left, you're going to take [the blue rectangle prism] and the... oriented so the flat side is facing down.",DS,Q2-C13-Bl-Pr,dobj
9,2,4.0,And put [a red rectangular prism] right on [it].,IR,Q4-C21-Re-Pr,dobj
10,2,4.0,And put [a red rectangular prism] right on [it].,N,Q2-C13-Bl-Pr,pobj
11,2,5.0,"Or [the red, the bigger rectangular prism, identical to [the blue one]]. Yep.",IR,Q4-C21-Re-Pr,NI
12,2,5.0,"Or [the red, the bigger rectangular prism, identical to [the blue one]]. Yep.",N,Q2-C13-Bl-Pr,NI
13,2,6.0,"Right to the right of [that], you're going to take [two of the green cubes].",N,"Q2-C13-Bl-Pr, Q4-C21-Re-Pr",pobj
14,2,6.0,"Right to the right of [that], you're going to take [two of the green cubes].",IR,"Q3-C32-Gr-Cu, Q2-C31-Gr-Cu",pobj
15,2,7.0,And stack [them] on top of [each other].,N,"Q3-C32-Gr-Cu, Q2-C31-Gr-Cu",dobj
16,2,7.0,And stack [them] on top of [each other].,N,"Q3-C32-Gr-Cu, Q2-C31-Gr-Cu",NI
17,2,8.0,So once more we are gonna need [another green cube].,N,Q2-C31-Gr-Cu,dobj
18,2,9.0,"Right next to [those two], you're going to put [two yellow cubes] stacked on top of [each other].",N,"Q3-C32-Gr-Cu, Q2-C31-Gr-Cu",NI
19,2,9.0,"Right next to [those two], you're going to put [two yellow cubes] stacked on top of [each other].",N,"Q4-C12-Ye-Cu, Q4-C22-Ye-Cu",dobj
20,2,9.0,"Right next to [those two], you're going to put [two yellow cubes] stacked on top of [each other].",N,"Q4-C12-Ye-Cu, Q4-C22-Ye-Cu",NI
21,2,10.0,"And next to [ those], [two of the thin green rectangular prisms], right there, and there.",N,"Q4-C12-Ye-Cu, Q4-C22-Ye-Cu",NI
22,2,10.0,"And next to [ those], [two of the thin green rectangular prisms], right there, and there.",IR,"Q4-C12-Gr-Rl, Q4-C13-Gr-Rl",pobj
23,2,11.0,You are going to smush [them] together so it becomes The top and bottom face of a cube,IR,"Q4-C12-Gr-Rl, Q4-C13-Gr-Rl",dobj
24,2,12.0,and stack [that] so is long ways facing up and down.,IR,"Q4-C12-Gr-Rl, Q4-C13-Gr-Rl",dobj
25,2,13.0,Perfect. ,N,,
26,2,14.0,"Starting from the left again, you're going to take [two of the arches in green].",DS,"Q4-C11-Gr-Ar, Q4-C23-Gr-Ar",pobj
27,2,15.0,And stack [them] on top of [each other] So [it] has a circle in the middle.,IR,"Q4-C11-Gr-Ar, Q4-C23-Gr-Ar",dobj
28,2,15.0,And stack [them] on top of [each other] So [it] has a circle in the middle.,N,"Q4-C11-Gr-Ar, Q4-C23-Gr-Ar",NI
29,2,15.0,And stack [them] on top of [each other] So [it] has a circle in the middle.,N,"Q4-C11-Gr-Ar, Q4-C23-Gr-Ar",nsubj
30,,,,,,
31,3,1.0,Lovely. We're going to start off with [the yellow L block right here on the left side].,DP,Q3-C23-Ye-Pr,pobj
32,3,2.0,"On... right next to [that], you're going to take [this green piece] and oriented length-wise pointed towards me.",N,Q3-C23-Ye-Pr,pobj
33,3,2.0,"On... right next to [that], you're going to take [this green piece] and oriented length-wise pointed towards me.",DP,Q3-C22-Gr-Rl,dobj
34,3,3.0,"On top of [that], do the same with [the red, red block].",N,Q3-C22-Gr-Rl,pobj
35,3,3.0,"On top of [that], do the same with [the red, red block].",DS,Q3-C12-Re-Rl,pobj
