,Quadrant,Utterance Number,Reference,Gesture Used,Object referenced,grammatical role
0,2,1.0,"Okay, so the very first thing we need is [a blue rectangular block].",N,New-Bl-Pr,NI
1,2,2.0,"Yeah. So [blue rec]... Like, I think, and then we'll need [a red one] like [that].",N,New-Bl-Pr,NI
2,2,2.0,"Yeah. So [blue rec]... Like, I think, and then we'll need [a red one] like [that].",N,New-Re-Pr,NI
3,2,2.0,"Yeah. So [blue rec]... Like, I think, and then we'll need [a red one] like [that].",DP,Q4-C13-Re-Rs,pobj
4,2,3.0,"So, just trying to describe actually, you know what, let's look for [a blue one] that's that size of [this one]. ",N,New-Bl-Pr,NI
5,2,3.0,"So, just trying to describe actually, you know what, let's look for [a blue one] that's that size of [this one]. ",DS,Q4-C11-Re-Pr,pobj
6,2,4.0,And we'll put [the blue one] just right straight underneath [that one].,IR,New-Bl-Pr,NI
7,2,4.0,And we'll put [the blue one] just right straight underneath [that one].,DS,Q4-C11-Re-Pr,NI
8,2,5.0,"And we need [two green bridges]. We've got [one] already, and [a blue cylinder].",N,"New-Gr-Ar1, New-Gr-Ar2, Q3-C11-Gr-Ar",dobj
9,2,5.0,"And we need [two green bridges]. We've got [one] already, and [a blue cylinder].",N,Q4-C12-Gr-Ar,NI
10,2,5.0,"And we need [two green bridges]. We've got [one] already, and [a blue cylinder].",N,"New-Bl-Cy, Q2-C32-Bl-Cy",NI
11,2,6.0,And [two little green squares].,N,"New-Gr-Cu1, New-Gr-Cu2",NI
12,2,7.0,And we got [one green square].,A,Q4-C11-Gr-Cu,dobj
13,2,8.0,Okay. Very nice. Perfect.,N,,
14,2,9.0,And then put [one of the little green squares] {points to object} right there.,N,Q4-C11-Gr-Cu,pobj
15,2,9.0,And then put [one of the little green squares] {points to object} right there.,DP,Q2-C32-Bl-Pr,NI
16,2,10.0,And you put [another little one] right on top of [it].,N,New-Gr-Cu2,NI
17,2,10.0,And you put [another little one] right on top of [it].,DS,Q4-C11-Gr-Cu,pobj
18,2,11.0,"And then [two yellow squares], right in [those two].",N,"Q4-C33-Ye-Cu, New-Ye-Cu",NI
19,2,11.0,"And then [two yellow squares], right in [those two].",DS,"Q4-C11-Gr-Cu, Q4-C11-Re-Pr",NI
20,2,12.0,And we also need [another one] of [these green rectangles] if you think of it.,N,New-Gr-Rl,NI
21,2,12.0,And we also need [another one] of [these green rectangles] if you think of it.,DP,Q4-C32-Gr-Rl,pobj
22,2,13.0,"So [little green square], [a little yellow square] and [rectangle].",N,"New-Gr-Cu2, Q1-C33-Gr-Cu",NI
23,2,13.0,"So [little green square], [a little yellow square] and [rectangle].",N,New-Ye-Cu,NI
24,2,13.0,"So [little green square], [a little yellow square] and [rectangle].",N,New-Gr-Rl,NI
25,2,14.0,Perfect. And then put [the two green ones] just standing vertically right next to [that].,N,"Q4-C32-Gr-Rl, Q3-C33-Gr-Rl",dobj
26,2,14.0,Perfect. And then put [the two green ones] just standing vertically right next to [that].,DS,"Q4-C33-Ye-Cu, Q2-C13-Ye-Cu",pobj
27,2,15.0,And then we'll need [two green bridges].,N,"Q3-C11-Gr-Ar, Q4-C12-Gr-Ar",dobj
28,,,,,,
29,3,1.0,Okay. So we need [a fat yellow... the fat yellow rectangle].,N,New-Ye-Pr,NI
30,3,2.0,"And then [a long, a long green one] and [a long red].",IR,New-Gr-Rl,NI
31,3,2.0,"And then [a long, a long green one] and [a long red].",IR,New-Re-Rl,NI
