Object Nums,Objects
1,Q1-C11-Ye-Pr
2,Q1-C11-Ye-Rl
3,Q1-C12-Ye-Pr
4,Q1-C12-Gr-Cy
5,Q1-C13-Re-Rl
6,Q1-C13-Re-Cu
7,Q1-C21-Re-Cy
8,Q1-C21-Re-Ts
9,Q1-C22-Bl-Pr
10,Q1-C22-Bl-Tl
11,Q1-C23-Re-Pr
12,Q1-C23-Re-Sc
13,Q1-C31-Gr-Rl
14,Q1-C31-Re-Cu
15,Q1-C32-Gr-Tl
16,Q1-C32-Bl-Cy
17,Q1-C33-Bl-Ar
18,Q1-C33-Re-Rl
19,Q2-C11-Gr-Rs
20,Q2-C11-Gr-Ts
21,Q2-C12-Gr-Cu
22,Q2-C12-Re-Tl
23,Q2-C13-Re-Pr
24,Q2-C13-Gr-Ts
25,Q2-C21-Bl-Rl
26,Q2-C21-Gr-Cy
27,Q2-C22-Ye-Pr
28,Q2-C22-Ye-Cu
29,Q2-C23-Ye-Cy
30,Q2-C23-Gr-Rl
31,Q2-C31-Gr-Rs
32,Q2-C31-Ye-Tl
33,Q2-C32-Gr-Cu
34,Q2-C32-Ye-Pr
35,Q2-C33-Bl-Cu
36,Q2-C33-Bl-Ts
37,Q3-C11-Bl-Rl
38,Q3-C11-Re-Ts
39,Q3-C12-Re-Rl
40,Q3-C12-Bl-Pr
41,Q3-C13-Re-Ar
42,Q3-C13-Bl-Cu
43,Q3-C21-Re-Cu
44,Q3-C21-Gr-Cy
45,Q3-C22-Ye-Cu
46,Q3-C22-Gr-Pr
47,Q3-C23-Gr-Sc
48,Q3-C23-Ye-Tl
49,Q3-C31-Bl-Cu
50,Q3-C31-Re-Tl
51,Q3-C32-Re-Cu
52,Q3-C32-Bl-Pr
53,Q3-C33-Bl-Tl
54,Q3-C33-Ye-Pr
55,Q4-C11-Gr-Cu
56,Q4-C11-Ye-Rs
57,Q4-C12-Gr-Ar
58,Q4-C12-Bl-Ts
59,Q4-C13-Re-Pr
60,Q4-C13-Ye-Pr
61,Q4-C21-Gr-Cy
62,Q4-C21-Ye-Cu
63,Q4-C22-Ye-Rl
64,Q4-C22-Ye-Cu
65,Q4-C23-Gr-Sc
66,Q4-C23-Gr-Cy
67,Q4-C31-Gr-Rl
68,Q4-C31-Gr-Ts
69,Q4-C32-Re-Rs
70,Q4-C32-Gr-Cu
71,Q4-C33-Gr-Ar
72,Q4-C33-Re-Pr
