Object Nums,Objects
1,Q1-C11-Gr-Rl
2,Q1-C11-Re-Cy
3,Q1-C12-Bl-Sc
4,Q1-C12-Gr-Cu
5,Q1-C13-Re-Cu
6,Q1-C13-Gr-Tl
7,Q1-C21-Gr-Cy
8,Q1-C21-Ye-Cy
9,Q1-C22-Gr-Cy
10,Q1-C22-Ye-Cu
11,Q1-C23-Bl-Rs
12,Q1-C23-Bl-Cu
13,Q1-C31-Bl-Ar
14,Q1-C31-Ye-Rs
15,Q1-C32-Re-Sc
16,Q1-C32-Re-Rs
17,Q1-C33-Re-Ar
18,Q1-C33-Gr-Cu
19,Q2-C11-Bl-Sc
20,Q2-C11-Ye-Ar
21,Q2-C12-Ye-Cu
22,Q2-C12-Ye-Rl
23,Q2-C13-Bl-Ar
24,Q2-C13-Ye-Cu
25,Q2-C21-Gr-Pr
26,Q2-C21-Bl-Sc
27,Q2-C22-Bl-Rl
28,Q2-C22-Bl-Sc
29,Q2-C23-Re-Pr
30,Q2-C23-Ye-Pr
31,Q2-C31-Bl-Cu
32,Q2-C31-Bl-Rl
33,Q2-C32-Bl-Cy
34,Q2-C32-Bl-Pr
35,Q2-C33-Bl-Cy
36,Q2-C33-Ye-Tl
37,Q3-C11-Gr-Ar
38,Q3-C11-Gr-Tl
39,Q3-C12-Re-Rs
40,Q3-C12-Re-Ar
41,Q3-C13-Bl-Cu
42,Q3-C13-Re-Rl
43,Q3-C21-Ye-Pr
44,Q3-C21-Bl-Cy
45,Q3-C22-Bl-Cu
46,Q3-C22-Ye-Cy
47,Q3-C23-Re-Ar
48,Q3-C23-Re-Cu
49,Q3-C31-Re-Rl
50,Q3-C31-Ye-Tl
51,Q3-C32-Gr-Rl
52,Q3-C32-Re-Cu
53,Q3-C33-Gr-Rl
54,Q3-C33-Gr-Cy
55,Q4-C11-Re-Pr
56,Q4-C11-Gr-Cu
57,Q4-C12-Gr-Ar
58,Q4-C12-Re-Rl
59,Q4-C13-Re-Rs
60,Q4-C13-Re-Tl
61,Q4-C21-Gr-Rl
62,Q4-C21-Ye-Pr
63,Q4-C22-Bl-Tl
64,Q4-C22-Ye-Cy
65,Q4-C23-Bl-Pr
66,Q4-C23-Gr-Rl
67,Q4-C31-Gr-Sc
68,Q4-C31-Gr-Ts
69,Q4-C32-Gr-Rl
70,Q4-C32-Re-Sc
71,Q4-C33-Ye-Cu
72,Q4-C33-Ye-Rl
