Object Nums,Objects
1,Q1-C11-Bl-Sc
2,Q1-C11-Re-Ar
3,Q1-C12-Ye-Tl
4,Q1-C12-Re-Ts
5,Q1-C13-Bl-Cy
6,Q1-C13-Re-Rl
7,Q1-C21-Re-Ar
8,Q1-C21-Gr-Sc
9,Q1-C22-Gr-Tl
10,Q1-C22-Ye-Cy
11,Q1-C23-Ye-Tl
12,Q1-C23-Re-Rl
13,Q1-C31-Bl-Ar
14,Q1-C31-Gr-Cu
15,Q1-C32-Ye-Rl
16,Q1-C32-Re-Ts
17,Q1-C33-Gr-Cy
18,Q1-C33-Bl-Ar
19,Q2-C11-Re-Cy
20,Q2-C11-Bl-Tl
21,Q2-C12-Bl-Cu
22,Q2-C12-Ye-Rl
23,Q2-C13-Gr-Ts
24,Q2-C13-Bl-Pr
25,Q2-C21-Re-Ar
26,Q2-C21-Bl-Tl
27,Q2-C22-Bl-Rl
28,Q2-C22-Ye-Cu
29,Q2-C23-Ye-Ts
30,Q2-C23-Bl-Sc
31,Q2-C31-Ye-Rs
32,Q2-C31-Gr-Cu
33,Q2-C32-Bl-Sc
34,Q2-C32-Gr-Cy
35,Q2-C33-Gr-Sc
36,Q2-C33-Ye-Ar
37,Q3-C11-Re-Tl
38,Q3-C11-Bl-Cu
39,Q3-C12-Bl-Pr
40,Q3-C12-Re-Rl
41,Q3-C13-Re-Pr
42,Q3-C13-Bl-Cu
43,Q3-C21-Re-Cu
44,Q3-C21-Bl-Rs
45,Q3-C22-Ye-Cu
46,Q3-C22-Gr-Rl
47,Q3-C23-Re-Ts
48,Q3-C23-Ye-Pr
49,Q3-C31-Re-Ts
50,Q3-C31-Gr-Pr
51,Q3-C32-Ye-Tl
52,Q3-C32-Gr-Cu
53,Q3-C33-Gr-Cy
54,Q3-C33-Re-Rl
55,Q4-C11-Re-Ts
56,Q4-C11-Gr-Pr
57,Q4-C12-Ye-Cu
58,Q4-C12-Gr-Tl
59,Q4-C13-Re-Cu
60,Q4-C13-Gr-Tl
61,Q4-C21-Gr-Cy
62,Q4-C21-Re-Pr
63,Q4-C22-Re-Pr
64,Q4-C22-Ye-Cu
65,Q4-C23-Gr-Ar
66,Q4-C23-Ye-Pr
67,Q4-C31-Bl-Pr
68,Q4-C31-Re-Ts
69,Q4-C32-Gr-Ts
70,Q4-C32-Bl-Rl
71,Q4-C33-Gr-Ts
72,Q4-C33-Ye-Rs
