Object Nums,Objects
1,Q1-C11-Gr-Ts
2,Q1-C11-Re-Cu
3,Q1-C12-Gr-Rs
4,Q1-C12-Gr-Rl
5,Q1-C21-Gr-Pr
6,Q1-C21-Gr-Rs
7,Q1-C22-Ye-Cu
8,Q1-C22-Gr-Cy
9,Q1-C23-Re-Cu
10,Q1-C23-Re-Ts
11,Q1-C31-Re-Ar
12,Q1-C31-Gr-Rs
13,Q1-C32-Ye-Rl
14,Q1-C32-Gr-Cy
15,Q1-C33-Ye-Rs
16,Q1-C33-Bl-Ar
17,Q2-C11-Ye-Cu
18,Q2-C11-Gr-Ar
19,Q2-C12-Ye-Pr
20,Q2-C12-Re-Pr
21,Q2-C13-Ye-Rs
22,Q2-C13-Ye-Pr
23,Q2-C21-Ye-Rs
24,Q2-C21-Ye-Cu
25,Q2-C22-Gr-Cu
26,Q2-C22-Bl-Rs
27,Q2-C23-Bl-Rl
28,Q2-C23-Bl-Cy
29,Q2-C31-Gr-Ts
30,Q2-C31-Ye-Ar
31,Q2-C32-Gr-Rl
32,Q2-C32-Bl-Pr
33,Q2-C33-Bl-Cu
34,Q2-C33-Bl-Rl
35,Q3-C11-Re-Rs
36,Q3-C11-Gr-Cu
37,Q3-C12-Re-Cu
38,Q3-C12-Re-Ar
39,Q3-C13-Gr-Rl
40,Q3-C13-Gr-Cy
41,Q3-C21-Re-Rl
42,Q3-C21-Re-Ts
43,Q3-C22-Ye-Cy
44,Q3-C22-Gr-Cu
45,Q3-C23-Gr-Rl
46,Q3-C23-Re-Cu
47,Q3-C31-Gr-Rl
48,Q3-C31-Gr-Tl
49,Q3-C32-Ye-Rl
50,Q3-C32-Gr-Cy
51,Q3-C33-Re-Rl
52,Q3-C33-Ye-Ts
53,Q4-C11-Re-Pr
54,Q4-C11-Gr-Cu
55,Q4-C12-Gr-Rs
56,Q4-C12-Gr-Rl
57,Q4-C13-Ye-Cu
58,Q4-C13-Ye-Rl
59,Q4-C21-Gr-Ar
60,Q4-C21-Gr-Rl
61,Q4-C22-Gr-Cu
62,Q4-C22-Ye-Cy
63,Q4-C23-Re-Sc
64,Q4-C23-Gr-Rl
65,Q4-C31-Gr-Cu
66,Q4-C31-Re-Pr
67,Q4-C32-Bl-Pr
68,Q4-C32-Gr-Rl
69,Q4-C33-Ye-Cu
70,Q4-C33-Gr-Ts
