Quadrant,Utterance Number,Reference,Gesture Used,Object referenced,grammatical role
2,1.0,Okay. Then make it easier. So we need [that blue cube looking one]...,DS,Q4-C23-Bl-Pr,nsubj
2,2.0,[That's] going to be the starting piece.,IR,Q4-C23-Bl-Pr,nsubj
2,3.0,[It's] going to be on that side. Yeah.,IR,Q4-C23-Bl-Pr,nsubj
2,4.0,"And on top of [that], [it's] going to be [a red one].",N,Q4-C23-Bl-Pr,pobj
2,4.0,"And on top of [that], [it's] going to be [a red one].",N,New-Re-Pr,nsubj
2,4.0,"And on top of [that], [it's] going to be [a red one].",N,Q4-C11-Re-Pr,NI
2,5.0,"And then when you need [two green cubes] like [that one], ",N,New-Gr-Cu1,dobj
2,5.0,"And then when you need [two green cubes] like [that one], ",N,New-Gr-Cu2,dobj
2,5.0,"And then when you need [two green cubes] like [that one], ",DS,Q4-C11-Gr-Cu,NI
2,6.0,you need [one more of [those]].,N,New-Gr-Cu2,pobj
2,6.0,you need [one more of [those]].,N,Q1-C33-Gr-Cu,pobj
2,6.0,you need [one more of [those]].,N,Q4-C11-Gr-Cu,
2,7.0,And then you also want to get [a yellow cube] just like [that].,N,New-Ye-Cu,dobj
2,7.0,And then you also want to get [a yellow cube] just like [that].,N,Q2-C12-Ye-Cu,dobj
2,7.0,And then you also want to get [a yellow cube] just like [that].,N,Q4-C11-Gr-Cu,pobj
2,8.0,So [the two green cubes] are going to be stacked to the right.,N,Q1-C33-Gr-Cu,nsubj
2,8.0,So [the two green cubes] are going to be stacked to the right.,N,Q4-C11-Gr-Cu,nsubj
2,9.0,Yes. And then [two yellow cubes] are going to be stacked right of [that].,N,Q2-C12-Ye-Cu,nsubj
2,9.0,Yes. And then [two yellow cubes] are going to be stacked right of [that].,N,Q4-C33-Ye-Cu,nsubj
2,9.0,Yes. And then [two yellow cubes] are going to be stacked right of [that].,N,Q1-C33-Gr-Cu,pobj
2,9.0,Yes. And then [two yellow cubes] are going to be stacked right of [that].,N,Q4-C11-Gr-Cu,pobj
2,10.0,"And then you're going to put [two]{gestures}[of the long green ones], ",N,Q4-C21-Gr-Rl,NI
2,10.0,"And then you're going to put [two]{gestures}[of the long green ones], ",N,Q4-C23-Gr-Rl,NI
2,10.0,"And then you're going to put [two]{gestures}[of the long green ones], ",DS,Q4-C23-Gr-Rl,dobj
2,11.0,to the right of [the yellow bricks].,N,Q2-C12-Ye-Cu,pobj
2,11.0,to the right of [the yellow bricks].,N,Q4-C33-Ye-Cu,pobj
2,12.0,Okay,N,,
2,13.0,"And on top of [that], it's going to be [this red triangle] on top of [the long green bricks].",N,Q4-C21-Gr-Rl,pobj
2,13.0,"And on top of [that], it's going to be [this red triangle] on top of [the long green bricks].",N,Q4-C23-Gr-Rl,pobj
2,13.0,"And on top of [that], it's going to be [this red triangle] on top of [the long green bricks].",DP,Q4-C32-Re-Ts,attr
2,14.0,And then [it's] going to be hanging off the right side a little bit.,A,Q4-C32-Re-Ts,nsubj
2,15.0,"And then on top of the a little bit to the right, you need [a long one of [those]]",N,New-Re-Rl,pobj
2,15.0,"And then on top of the a little bit to the right, you need [a long one of [those]]",DS,Q4-C13-Re-Rs,
,,,N,,
3,1.0,Ok. So where you're starting with [this long green one].,DS,Q3-C32-Gr-Rl,NI
3,2.0,We're going to make [it] flat.,N,Q3-C32-Gr-Rl,nsubj
3,3.0,"We're going to put [that red one] on top of [it], also flat.",DS,Q3-C12-Re-Rl,NI
3,3.0,"We're going to put [that red one] on top of [it], also flat.",N,Q3-C32-Gr-Rl,pobj
3,4.0,"And then it looks like there's [a yellow rectangle, but like a small one].",IR,New-Ye-Pr,NI
3,4.0,"And then it looks like there's [a yellow rectangle, but like a small one].",IR,Q2-C23-Ye-Pr,NI
3,5.0,[That]'s going to go right side up next to [it]. ,A,New-Ye-Pr,nsubj
3,5.0,[That]'s going to go right side up next to [it]. ,N,Q3-C12-Re-Rl,pobj
3,5.0,[That]'s going to go right side up next to [it]. ,N,Q3-C32-Gr-Rl,pobj
3,6.0,And then you also need [a blue one]. ,N,New-Bl-Pr,NI
3,7.0,[It] needs to be like two cubes put together. ,IR,New-Ye-Pr,nsubj
3,8.0,That's what [it] looks like...,IR,New-Ye-Pr,nsubj
3,9.0,Right. Right. So [that] goes to the left of [it].,N,Q2-C23-Ye-Pr,nsubj
3,9.0,Right. Right. So [that] goes to the left of [it].,DL,Q3-C12-Re-Rl,pobj
3,9.0,Right. Right. So [that] goes to the left of [it].,DL,Q3-C32-Gr-Rl,pobj
3,10.0,And then [two blue cubes] come on top of [it].,N,Q3-C13-Bl-Cu,nsubj
3,10.0,And then [two blue cubes] come on top of [it].,N,Q3-C22-Bl-Cu,nsubj
3,10.0,And then [two blue cubes] come on top of [it].,N,Q2-C23-Ye-Pr,pobj
3,11.0,"And then like [that yellow one you just found], we need [a green one] and [a red one].",A,Q2-C23-Ye-Pr,nsubj
3,11.0,"And then like [that yellow one you just found], we need [a green one] and [a red one].",N,New-Gr-Pr,NI
3,11.0,"And then like [that yellow one you just found], we need [a green one] and [a red one].",N,New-Re-Pr,NI
3,11.0,"And then like [that yellow one you just found], we need [a green one] and [a red one].",N,Q2-C23-Re-Pr,NI
3,12.0,"So [the green retangle] is going to go on top of [the red], touching [the yellow].",DS,Q2-C21-Gr-Pr,nsubj
3,12.0,"So [the green retangle] is going to go on top of [the red], touching [the yellow].",DS,Q3-C12-Re-Rl,NI
3,12.0,"So [the green retangle] is going to go on top of [the red], touching [the yellow].",IR,Q2-C23-Ye-Pr,NI
3,13.0,"Flip [it], like that.",IR,Q2-C21-Gr-Pr,dobj
3,14.0,And then [this green cylinder] is going to go to the right of [that brick].,DP,Q3-C33-Gr-Cy,nsubj
3,14.0,And then [this green cylinder] is going to go to the right of [that brick].,DS,Q2-C21-Gr-Pr,pobj
3,15.0,Yeah. And then you're going to have [two red cubes] that you're going to put on top of [the green brick].,N,Q3-C32-Re-Cu,dobj
3,15.0,Yeah. And then you're going to have [two red cubes] that you're going to put on top of [the green brick].,N,Q3-C23-Re-Cu,dobj
3,15.0,Yeah. And then you're going to have [two red cubes] that you're going to put on top of [the green brick].,DS,Q2-C21-Gr-Pr,pobj
"So, look for that piece.",,,N,,
Okay. And then two more pieces.,,,N,,
"One of them is a red triangle piece, but it's... it has the same shape as the cube.",,,N,,
It's red and triangle.,,,N,,
So look for that piece.,,,N,,
