Quadrant,Utterance Number,Reference,Gesture Used,Object referenced,grammatical role
2,1.0,"So [the first piece] is going to be [another one of the long boxes in blue], ",N,New-Bl-Pr,nsubj
2,1.0,"So [the first piece] is going to be [another one of the long boxes in blue], ",IR,Q2-C32-Bl-Pr,NI
2,2.0,And you have to look for [that piece].,N,Q2-C32-Bl-Pr,pobj
2,3.0,Yeah. So [that] goes down horizontally like this at the very left of [it].,N,Q2-C32-Bl-Pr,nsubj
2,3.0,Yeah. So [that] goes down horizontally like this at the very left of [it].,IR,Q2-C32-Bl-Pr,pobj
2,4.0,"And then, to the right of [that] is [a green cube], like [that piece]. Yeah.",IR,Q2-C32-Bl-Pr,pobj
2,4.0,"And then, to the right of [that] is [a green cube], like [that piece]. Yeah.",IR,New-Gr-Cu,NI
2,4.0,"And then, to the right of [that] is [a green cube], like [that piece]. Yeah.",DS,Q4-C11-Gr-Cu,pobj
2,5.0,And [it] goes to the right of [the blue].,N,Q4-C11-Gr-Cu,nsubj
2,5.0,And [it] goes to the right of [the blue].,A,Q2-C32-Bl-Pr,NI
2,6.0,"Okay. And then to the right of [the green cube], is [a yellow cube] like this.",A,Q4-C11-Gr-Cu,pobj
2,6.0,"Okay. And then to the right of [the green cube], is [a yellow cube] like this.",DS,Q4-C33-Ye-Cu,NI
2,7.0,"Okay. And then on top of [each of the cubes], it's [a cube with the same color].",DS,Q4-C11-Gr-Cu,pobj
2,7.0,"Okay. And then on top of [each of the cubes], it's [a cube with the same color].",DS,Q4-C33-Ye-Cu,pobj
2,7.0,"Okay. And then on top of [each of the cubes], it's [a cube with the same color].",A,New-Gr-Cu,pobj
2,7.0,"Okay. And then on top of [each of the cubes], it's [a cube with the same color].",A,New-Ye-Cu,pobj
2,8.0,So you have [the cube] on top of [this yellow].,DS,Q2-C12-Ye-Cu,dobj
2,8.0,So you have [the cube] on top of [this yellow].,N,Q4-C33-Ye-Cu,NI
2,9.0,And [green cube] on top of [that]. ,N,Q1-C33-Gr-Cu,NI
2,9.0,And [green cube] on top of [that]. ,DS,Q4-C11-Gr-Cu,pobj
2,10.0,So you have to look for [this].,N,Q2-C12-Ye-Cu,pobj
2,10.0,So you have to look for [this].,N,Q1-C33-Gr-Cu,pobj
2,11.0,Okay. And then [the same color] stack on top of [the same ones].,N,Q2-C12-Ye-Cu,NI
2,11.0,Okay. And then [the same color] stack on top of [the same ones].,N,Q1-C33-Gr-Cu,NI
2,11.0,Okay. And then [the same color] stack on top of [the same ones].,N,Q4-C11-Gr-Cu,pobj
2,11.0,Okay. And then [the same color] stack on top of [the same ones].,N,Q4-C33-Ye-Cu,pobj
2,12.0,"Okay. And then to the right of [the cubes] are [two tall rectangles in green], like [those].",DS,Q1-C33-Gr-Cu,pobj
2,12.0,"Okay. And then to the right of [the cubes] are [two tall rectangles in green], like [those].",DS,Q4-C11-Gr-Cu,pobj
2,12.0,"Okay. And then to the right of [the cubes] are [two tall rectangles in green], like [those].",A,New-Gr-Rl,NI
2,12.0,"Okay. And then to the right of [the cubes] are [two tall rectangles in green], like [those].",DP,Q4-C21-Gr-Rl,pobj
2,13.0,And [those] are stacked vertically next to [one another].,N,Q4-C21-Gr-Rl,nsubj
