Quadrant,Utterance Number,Reference,Gesture Used,Object referenced,grammatical role
2,1,"All right. So . We're going to need [two green cubes] {gesture}, [a blue rectangular prism]{gesture}, and [a red and [yellow flat slab]] like [this blue piece].",N,"New-Gr-Cu1, New-Gr-Cu2, Q3-C32-Gr-Cu",dobj
2,1,"All right. So . We're going to need [two green cubes] {gesture}, [a blue rectangular prism]{gesture}, and [a red and [yellow flat slab]] like [this blue piece].",DP,Q4-C22-Ye-Cu,NI
2,1,"All right. So . We're going to need [two green cubes] {gesture}, [a blue rectangular prism]{gesture}, and [a red and [yellow flat slab]] like [this blue piece].",N,"New-Bl-Pr, Q2-C13-Bl-Pr",conj
2,1,"All right. So . We're going to need [two green cubes] {gesture}, [a blue rectangular prism]{gesture}, and [a red and [yellow flat slab]] like [this blue piece].",IR,Q4-C21-Re-Pr,pobj
2,1,"All right. So . We're going to need [two green cubes] {gesture}, [a blue rectangular prism]{gesture}, and [a red and [yellow flat slab]] like [this blue piece].",N,"New-Re-Rl, Q3-C33-Re-Rl",NI
2,1,"All right. So . We're going to need [two green cubes] {gesture}, [a blue rectangular prism]{gesture}, and [a red and [yellow flat slab]] like [this blue piece].",N,New-Ye-Rl,NI
2,1,"All right. So . We're going to need [two green cubes] {gesture}, [a blue rectangular prism]{gesture}, and [a red and [yellow flat slab]] like [this blue piece].",DP,Q4-C32-Bl-Rl,NI
2,2,"That's possible off to dismantle something later, but in the meanwhile...",N,,
2,3,"So on the left, you're going to take [the blue rectangle prism] and the... oriented so the flat side is facing down.",DS,Q2-C13-Bl-Pr,dobj
2,4,And put [a red rectangular prism] right on [it].,IR,Q4-C21-Re-Pr,dobj
2,4,And put [a red rectangular prism] right on [it].,N,Q2-C13-Bl-Pr,pobj
2,5,"Or [the red, the bigger rectangular prism, identical to [the blue one]]. Yep.",IR,Q4-C21-Re-Pr,NI
2,5,"Or [the red, the bigger rectangular prism, identical to [the blue one]]. Yep.",N,Q2-C13-Bl-Pr,NI
2,6,"Right to the right of [that], you're going to take [two of the green cubes].",N,"Q2-C13-Bl-Pr, Q4-C21-Re-Pr",pobj
2,6,"Right to the right of [that], you're going to take [two of the green cubes].",IR,"Q3-C32-Gr-Cu, Q2-C31-Gr-Cu",pobj
2,7,And stack [them] on top of [each other].,N,"Q3-C32-Gr-Cu, Q2-C31-Gr-Cu",dobj
2,7,And stack [them] on top of [each other].,N,"Q3-C32-Gr-Cu, Q2-C31-Gr-Cu",NI
2,8,So once more we are gonna need [another green cube].,N,Q2-C31-Gr-Cu,dobj
2,9,"Right next to [those two], you're going to put [two yellow cubes] stacked on top of [each other].",N,"Q3-C32-Gr-Cu, Q2-C31-Gr-Cu",NI
2,9,"Right next to [those two], you're going to put [two yellow cubes] stacked on top of [each other].",N,"Q4-C12-Ye-Cu, Q4-C22-Ye-Cu",dobj
2,9,"Right next to [those two], you're going to put [two yellow cubes] stacked on top of [each other].",N,"Q4-C12-Ye-Cu, Q4-C22-Ye-Cu",NI
2,10,"And next to [ those], [two of the thin green rectangular prisms], right there, and there.",N,"Q4-C12-Ye-Cu, Q4-C22-Ye-Cu",NI
2,10,"And next to [ those], [two of the thin green rectangular prisms], right there, and there.",IR,"Q4-C12-Gr-Rl, Q4-C13-Gr-Rl",pobj
2,11,You are going to smush [them] together so it becomes The top and bottom face of a cube,IR,"Q4-C12-Gr-Rl, Q4-C13-Gr-Rl",dobj
2,12,and stack [that] so is long ways facing up and down.,IR,"Q4-C12-Gr-Rl, Q4-C13-Gr-Rl",dobj
2,13,Perfect. ,N,,
2,14,"Starting from the left again, you're going to take [two of the arches in green].",DS,"Q4-C11-Gr-Ar, Q4-C23-Gr-Ar",pobj
2,15,And stack [them] on top of [each other] So [it] has a circle in the middle.,IR,"Q4-C11-Gr-Ar, Q4-C23-Gr-Ar",dobj
