Quadrant,Utterance Number,Reference,Gesture Used,Object referenced,grammatical role
2,1,"So [the first piece] is going to be [another one of the long boxes in blue], ",N,New-Bl-Pr,nsubj
2,1,"So [the first piece] is going to be [another one of the long boxes in blue], ",IR,Q2-C32-Bl-Pr,NI
2,2,And you have to look for [that piece].,N,Q2-C32-Bl-Pr,pobj
2,3,Yeah. So [that] goes down horizontally like this at the very left of [it].,N,Q2-C32-Bl-Pr,nsubj
2,3,Yeah. So [that] goes down horizontally like this at the very left of [it].,IR,Q2-C32-Bl-Pr,pobj
2,4,"And then, to the right of [that] is [a green cube], like [that piece]. Yeah.",IR,Q2-C32-Bl-Pr,pobj
2,4,"And then, to the right of [that] is [a green cube], like [that piece]. Yeah.",IR,New-Gr-Cu,NI
2,4,"And then, to the right of [that] is [a green cube], like [that piece]. Yeah.",DS,Q4-C11-Gr-Cu,pobj
2,5,And [it] goes to the right of [the blue].,N,Q4-C11-Gr-Cu,nsubj
2,5,And [it] goes to the right of [the blue].,A,Q2-C32-Bl-Pr,NI
2,6,"Okay. And then to the right of [the green cube], is [a yellow cube] like this.",A,Q4-C11-Gr-Cu,pobj
2,6,"Okay. And then to the right of [the green cube], is [a yellow cube] like this.",DS,Q4-C33-Ye-Cu,NI
2,7,"Okay. And then on top of [each of the cubes], it's [a cube with the same color].",DS,"Q4-C11-Gr-Cu, Q4-C33-Ye-Cu",pobj
2,7,"Okay. And then on top of [each of the cubes], it's [a cube with the same color].",A,"New-Gr-Cu, New-Ye-Cu",pobj
2,8,So you have [the cube] on top of [this yellow].,DS,Q2-C12-Ye-Cu,dobj
2,8,So you have [the cube] on top of [this yellow].,N,Q4-C33-Ye-Cu,NI
2,9,And [green cube] on top of [that]. ,N,Q1-C33-Gr-Cu,NI
2,9,And [green cube] on top of [that]. ,DS,Q4-C11-Gr-Cu,pobj
2,10,So you have to look for [this].,N,"Q2-C12-Ye-Cu, Q1-C33-Gr-Cu",pobj
2,11,Okay. And then [the same color] stack on top of [the same ones].,N,"Q2-C12-Ye-Cu, Q1-C33-Gr-Cu",NI
2,11,Okay. And then [the same color] stack on top of [the same ones].,N,"Q4-C11-Gr-Cu, Q4-C33-Ye-Cu",pobj
2,12,"Okay. And then to the right of [the cubes] are [two tall rectangles in green], like [those].",DS,"Q1-C33-Gr-Cu, Q4-C11-Gr-Cu",pobj
2,12,"Okay. And then to the right of [the cubes] are [two tall rectangles in green], like [those].",A,New-Gr-Rl,NI
2,12,"Okay. And then to the right of [the cubes] are [two tall rectangles in green], like [those].",DP,Q4-C21-Gr-Rl,pobj
2,13,And [those] are stacked vertically next to [one another].,N,"Q4-C21-Gr-Rl, Q4-C23-Gr-Rl",nsubj
2,13,And [those] are stacked vertically next to [one another].,N,"Q4-C21-Gr-Rl, Q4-C23-Gr-Rl",NI
2,14,And on top of [the blue rectangle] is [a red rectangle in the same shape].,DS,Q2-C32-Bl-Pr,pobj
2,14,And on top of [the blue rectangle] is [a red rectangle in the same shape].,N,New-Re-Pr,pobj
2,15,Like [that one].,DS,Q4-C11-Re-Pr,NI
,,,,,
3,1,Okay. So it's going to start with [a long rectangle piece of...or a rectangle cube of yellow].,IR,New-Ye-Pr,pobj
3,2,"Yeah. [That's] not here, so look for, like [a long rectangle that's cube].",N,Q2-C23-Ye-Pr,nsubj
3,2,"Yeah. [That's] not here, so look for, like [a long rectangle that's cube].",IR,Q2-C23-Ye-Pr,NI
3,3,"Yeah, like [that].",N,Q2-C23-Ye-Pr,pobj
3,4,Okay. And [that's] going to stack vertically at the very left of [it].,N,Q2-C23-Ye-Pr,nsubj
3,4,Okay. And [that's] going to stack vertically at the very left of [it].,N,Q2-C23-Ye-Pr,pobj
3,5,And then next to [it] is going to be [a long green peice] like this.,N,Q2-C23-Ye-Pr,pobj
3,5,And then next to [it] is going to be [a long green peice] like this.,DS,Q3-C32-Gr-Rl,NI
3,6,"And [that's] going to be stack, yeah, like parallel to the table",N,Q3-C32-Gr-Rl,nsubj
3,7,On top of [that] is [a red piece] just like [that].,N,Q3-C32-Gr-Rl,pobj
3,7,On top of [that] is [a red piece] just like [that].,N,Q3-C12-Re-Rl,NI
3,7,On top of [that] is [a red piece] just like [that].,DS,Q3-C12-Re-Rl,pobj
3,8,[That's] going the same direction as [it] just on top.,N,Q3-C12-Re-Rl,nsubj
3,8,[That's] going the same direction as [it] just on top.,N,Q3-C32-Gr-Rl,nsubj
3,9,"On top of [the red] is [a long green], just like [the yellow].",N,Q3-C12-Re-Rl,NI
3,9,"On top of [the red] is [a long green], just like [the yellow].",IR,New-Gr-Pr,NI
3,9,"On top of [the red] is [a long green], just like [the yellow].",DP,Q2-C23-Ye-Pr,NI
3,10,So... look for [that piece].,N,Q2-C21-Gr-Pr,pobj
3,11,Ok. Yeah. And then [that's] going to be parallel with the table again.,N,Q2-C23-Ye-Pr,nsubj
3,12,"And on top of [that green piece] ,are going to be [two cubes like [this] in red].",N,Q2-C23-Ye-Pr,pobj
3,12,"And on top of [that green piece] ,are going to be [two cubes like [this] in red].",N,New-Re-Cu,pobj
3,12,"And on top of [that green piece] ,are going to be [two cubes like [this] in red].",DP,Q3-C32-Re-Cu,NI
3,13,Yeah. So look for a... There's [a piece right here].,DS,Q3-C23-Re-Cu,NI
3,14,"And then [a green cylinder] like [this], is going to go on top of [the red here].",N,Q3-C33-Gr-Cy,nsubj
3,14,"And then [a green cylinder] like [this], is going to go on top of [the red here].",DP,Q3-C33-Gr-Cy,pobj
3,14,"And then [a green cylinder] like [this], is going to go on top of [the red here].",DS,Q3-C12-Re-Rl,pobj
3,15,Yeah. [The piece] parallel to the table.,N,Q3-C12-Re-Rl,nsubj
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
