Quadrant,Utterance,Object,Current Status,Mentioned,Gesture,Grammatical Role,Previous Status
2,1,Q1-C11-Ye-Pr,UI,N,N,N,UI
2,1,Q1-C11-Ye-Rl,UI,N,N,N,UI
2,1,Q1-C12-Ye-Pr,UI,N,N,N,UI
2,1,Q1-C12-Gr-Cy,UI,N,N,N,UI
2,1,Q1-C13-Re-Rl,UI,N,N,N,UI
2,1,Q1-C13-Re-Cu,UI,N,N,N,UI
2,1,Q1-C21-Re-Cy,UI,N,N,N,UI
2,1,Q1-C21-Re-Ts,UI,N,N,N,UI
2,1,Q1-C22-Bl-Pr,UI,N,N,N,UI
2,1,Q1-C22-Bl-Tl,UI,N,N,N,UI
2,1,Q1-C23-Re-Pr,UI,N,N,N,UI
2,1,Q1-C23-Re-Sc,UI,N,N,N,UI
2,1,Q1-C31-Gr-Rl,UI,N,N,N,UI
2,1,Q1-C31-Re-Cu,UI,N,N,N,UI
2,1,Q1-C32-Gr-Tl,UI,N,N,N,UI
2,1,Q1-C32-Bl-Cy,UI,N,N,N,UI
2,1,Q1-C33-Bl-Ar,UI,N,N,N,UI
2,1,Q1-C33-Re-Rl,UI,N,N,N,UI
2,1,Q2-C11-Gr-Rs,F,N,N,N,F
2,1,Q2-C11-Gr-Ts,F,N,N,N,F
2,1,Q2-C12-Gr-Cu,F,N,N,N,F
2,1,Q2-C12-Re-Tl,F,N,N,N,F
2,1,Q2-C13-Re-Pr,F,N,N,N,F
2,1,Q2-C13-Gr-Ts,F,N,N,N,F
2,1,Q2-C21-Bl-Rl,F,N,N,N,F
2,1,Q2-C21-Gr-Cy,F,N,N,N,F
2,1,Q2-C22-Ye-Pr,F,N,N,N,F
2,1,Q2-C22-Ye-Cu,F,N,N,N,F
2,1,Q2-C23-Ye-Cy,F,N,N,N,F
2,1,Q2-C23-Gr-Rl,F,N,N,N,F
2,1,Q2-C31-Gr-Rs,F,N,N,N,F
2,1,Q2-C31-Ye-Tl,F,N,N,N,F
2,1,Q2-C32-Gr-Cu,F,N,N,N,F
2,1,Q2-C32-Ye-Pr,F,N,N,N,F
2,1,Q2-C33-Bl-Cu,F,N,N,N,F
2,1,Q2-C33-Bl-Ts,F,N,N,N,F
2,1,Q3-C11-Bl-Rl,UI,N,N,N,UI
2,1,Q3-C11-Re-Ts,UI,N,N,N,UI
2,1,Q3-C12-Re-Rl,UI,N,N,N,UI
2,1,Q3-C12-Bl-Pr,UI,N,N,N,UI
2,1,Q3-C13-Re-Ar,UI,N,N,N,UI
2,1,Q3-C13-Bl-Cu,UI,N,N,N,UI
2,1,Q3-C21-Re-Cu,UI,N,N,N,UI
2,1,Q3-C21-Gr-Cy,UI,N,N,N,UI
2,1,Q3-C22-Ye-Cu,UI,N,N,N,UI
2,1,Q3-C22-Gr-Pr,UI,N,N,N,UI
2,1,Q3-C23-Gr-Sc,UI,N,N,N,UI
2,1,Q3-C23-Ye-Tl,UI,N,N,N,UI
2,1,Q3-C31-Bl-Cu,UI,N,N,N,UI
2,1,Q3-C31-Re-Tl,UI,N,N,N,UI
2,1,Q3-C32-Re-Cu,UI,N,N,N,UI
2,1,Q3-C32-Bl-Pr,UI,N,N,N,UI
2,1,Q3-C33-Bl-Tl,UI,N,N,N,UI
2,1,Q3-C33-Ye-Pr,UI,N,N,N,UI
2,1,Q4-C11-Gr-Cu,UI,N,N,N,UI
2,1,Q4-C11-Ye-Rs,UI,N,N,N,UI
2,1,Q4-C12-Gr-Ar,UI,N,N,N,UI
2,1,Q4-C12-Bl-Ts,UI,N,N,N,UI
2,1,Q4-C13-Re-Pr,UI,N,N,N,UI
2,1,Q4-C13-Ye-Pr,UI,N,N,N,UI
2,1,Q4-C21-Gr-Cy,UI,N,N,N,UI
2,1,Q4-C21-Ye-Cu,UI,N,N,N,UI
2,1,Q4-C22-Ye-Rl,UI,N,N,N,UI
2,1,Q4-C22-Ye-Cu,IF,M,DP,dobj,UI
2,1,Q4-C23-Gr-Sc,UI,N,N,N,UI
2,1,Q4-C23-Gr-Cy,UI,N,N,N,UI
2,1,Q4-C31-Gr-Rl,UI,N,N,N,UI
2,1,Q4-C31-Gr-Ts,UI,N,N,N,UI
2,1,Q4-C32-Re-Rs,UI,N,N,N,UI
2,1,Q4-C32-Gr-Cu,UI,N,N,N,UI
2,1,Q4-C33-Gr-Ar,UI,N,N,N,UI
2,1,Q4-C33-Re-Pr,UI,N,N,N,UI
2,2,Q1-C11-Ye-Pr,UI,N,N,N,UI
2,2,Q1-C11-Ye-Rl,UI,N,N,N,UI
2,2,Q1-C12-Ye-Pr,UI,N,N,N,UI
2,2,Q1-C12-Gr-Cy,UI,N,N,N,UI
2,2,Q1-C13-Re-Rl,UI,N,N,N,UI
2,2,Q1-C13-Re-Cu,UI,N,N,N,UI
2,2,Q1-C21-Re-Cy,UI,N,N,N,UI
2,2,Q1-C21-Re-Ts,UI,N,N,N,UI
2,2,Q1-C22-Bl-Pr,UI,N,N,N,UI
2,2,Q1-C22-Bl-Tl,UI,N,N,N,UI
2,2,Q1-C23-Re-Pr,UI,N,N,N,UI
2,2,Q1-C23-Re-Sc,UI,N,N,N,UI
2,2,Q1-C31-Gr-Rl,UI,N,N,N,UI
2,2,Q1-C31-Re-Cu,UI,N,N,N,UI
2,2,Q1-C32-Gr-Tl,UI,N,N,N,UI
2,2,Q1-C32-Bl-Cy,UI,N,N,N,UI
2,2,Q1-C33-Bl-Ar,UI,N,N,N,UI
2,2,Q1-C33-Re-Rl,UI,N,N,N,UI
2,2,Q2-C11-Gr-Rs,F,N,N,N,F
2,2,Q2-C11-Gr-Ts,F,N,N,N,F
2,2,Q2-C12-Gr-Cu,F,N,N,N,F
2,2,Q2-C12-Re-Tl,F,N,N,N,F
2,2,Q2-C13-Re-Pr,F,N,N,N,F
2,2,Q2-C13-Gr-Ts,F,N,N,N,F
2,2,Q2-C21-Bl-Rl,F,N,N,N,F
2,2,Q2-C21-Gr-Cy,F,N,N,N,F
2,2,Q2-C22-Ye-Pr,F,N,N,N,F
2,2,Q2-C22-Ye-Cu,F,N,N,N,F
2,2,Q2-C23-Ye-Cy,F,N,N,N,F
2,2,Q2-C23-Gr-Rl,F,N,N,N,F
2,2,Q2-C31-Gr-Rs,F,N,N,N,F
2,2,Q2-C31-Ye-Tl,F,N,N,N,F
2,2,Q2-C32-Gr-Cu,F,N,N,N,F
2,2,Q2-C32-Ye-Pr,F,N,N,N,F
2,2,Q2-C33-Bl-Cu,F,N,N,N,F
2,2,Q2-C33-Bl-Ts,F,N,N,N,F
2,2,Q3-C11-Bl-Rl,UI,N,N,N,UI
2,2,Q3-C11-Re-Ts,UI,N,N,N,UI
2,2,Q3-C12-Re-Rl,UI,N,N,N,UI
2,2,Q3-C12-Bl-Pr,UI,N,N,N,UI
2,2,Q3-C13-Re-Ar,UI,N,N,N,UI
2,2,Q3-C13-Bl-Cu,UI,N,N,N,UI
2,2,Q3-C21-Re-Cu,UI,N,N,N,UI
2,2,Q3-C21-Gr-Cy,UI,N,N,N,UI
2,2,Q3-C22-Ye-Cu,UI,N,N,N,UI
2,2,Q3-C22-Gr-Pr,UI,N,N,N,UI
