Quadrant,Utterance,Object,Current Status,Mentioned,Gesture,Grammatical Role,Previous Status
2,1,Q1-C11-Gr-Ts,UI,N,N,N,UI
2,1,Q1-C11-Re-Cu,UI,N,N,N,UI
2,1,Q1-C12-Gr-Rs,UI,N,N,N,UI
2,1,Q1-C12-Gr-Rl,UI,N,N,N,UI
2,1,Q1-C21-Gr-Pr,UI,N,N,N,UI
2,1,Q1-C21-Gr-Rs,UI,N,N,N,UI
2,1,Q1-C22-Ye-Cu,UI,N,N,N,UI
2,1,Q1-C22-Gr-Cy,UI,N,N,N,UI
2,1,Q1-C23-Re-Cu,UI,N,N,N,UI
2,1,Q1-C23-Re-Ts,UI,N,N,N,UI
2,1,Q1-C31-Re-Ar,UI,N,N,N,UI
2,1,Q1-C31-Gr-Rs,UI,N,N,N,UI
2,1,Q1-C32-Ye-Rl,UI,N,N,N,UI
2,1,Q1-C32-Gr-Cy,UI,N,N,N,UI
2,1,Q1-C33-Ye-Rs,UI,N,N,N,UI
2,1,Q1-C33-Bl-Ar,UI,N,N,N,UI
2,1,Q2-C11-Ye-Cu,F,N,N,N,F
2,1,Q2-C11-Gr-Ar,F,N,N,N,F
2,1,Q2-C12-Ye-Pr,F,N,N,N,F
2,1,Q2-C12-Re-Pr,F,N,N,N,F
2,1,Q2-C13-Ye-Rs,F,N,N,N,F
2,1,Q2-C13-Ye-Pr,F,N,N,N,F
2,1,Q2-C21-Ye-Rs,F,N,N,N,F
2,1,Q2-C21-Ye-Cu,F,N,N,N,F
2,1,Q2-C22-Gr-Cu,F,N,N,N,F
2,1,Q2-C22-Bl-Rs,F,N,N,N,F
2,1,Q2-C23-Bl-Rl,F,N,N,N,F
2,1,Q2-C23-Bl-Cy,F,N,N,N,F
2,1,Q2-C31-Gr-Ts,F,N,N,N,F
2,1,Q2-C31-Ye-Ar,F,N,N,N,F
2,1,Q2-C32-Gr-Rl,F,N,N,N,F
2,1,Q2-C32-Bl-Pr,F,N,N,N,F
2,1,Q2-C33-Bl-Cu,F,N,N,N,F
2,1,Q2-C33-Bl-Rl,F,N,N,N,F
2,1,Q3-C11-Re-Rs,UI,N,N,N,UI
2,1,Q3-C11-Gr-Cu,UI,N,N,N,UI
2,1,Q3-C12-Re-Cu,UI,N,N,N,UI
2,1,Q3-C12-Re-Ar,UI,N,N,N,UI
