Quadrant,Utterance,Object,Current Status,Mentioned,Gesture,Grammatical Role,Previous Status
2,1,Q1-C11-Bl-Cu,UI,N,N,N,UI
2,1,Q1-C11-Gr-Tl,UI,N,N,N,UI
2,1,Q1-C12-Bl-Cu,UI,N,N,N,UI
2,1,Q1-C12-Gr-Ts,UI,N,N,N,UI
2,1,Q1-C13-Bl-Cu,UI,N,N,N,UI
2,1,Q1-C13-Re-Ar,UI,N,N,N,UI
2,1,Q1-C21-Gr-Cu,UI,N,N,N,UI
2,1,Q1-C21-Bl-Rs,UI,N,N,N,UI
2,1,Q1-C22-Ye-Cu,UI,N,N,N,UI
2,1,Q1-C22-Gr-Cy,UI,N,N,N,UI
2,1,Q1-C23-Re-Cu,UI,N,N,N,UI
2,1,Q1-C23-Re-Ts,UI,N,N,N,UI
2,1,Q1-C31-Re-Ar,UI,N,N,N,UI
2,1,Q1-C31-Ye-Rs,UI,N,N,N,UI
2,1,Q1-C32-Ye-Rl,UI,N,N,N,UI
2,1,Q1-C32-Gr-Cy,UI,N,N,N,UI
2,1,Q1-C33-Gr-Cu,A,M,N,NI,UI
2,1,Q1-C33-Bl-Ar,UI,N,N,N,UI
2,1,Q2-C11-Ye-Cu,F,N,N,N,F
2,1,Q2-C11-Bl-Ts,F,N,N,N,F
2,1,Q2-C12-Ye-Cu,A,M,N,NI,F
2,1,Q2-C12-Re-Pr,F,N,N,N,F
2,1,Q2-C13-Ye-Rs,F,N,N,N,F
2,1,Q2-C13-Bl-Cy,F,N,N,N,F
2,1,Q2-C21-Ye-Rs,F,N,N,N,F
2,1,Q2-C21-Gr-Pr,F,N,N,N,F
2,1,Q2-C22-Gr-Cu,F,N,N,N,F
2,1,Q2-C22-Bl-Rs,F,N,N,N,F
2,1,Q2-C23-Bl-Rl,F,N,N,N,F
2,1,Q2-C23-Bl-Cy,F,N,N,N,F
2,1,Q2-C31-Bl-Tr,F,N,N,N,F
2,1,Q2-C31-Ye-Ar,F,N,N,N,F
2,1,Q2-C32-Gr-Rl,F,N,N,N,F
2,1,Q2-C32-Bl-Wr,F,N,N,N,F
2,1,Q2-C33-Bl-Cu,F,N,N,N,F
2,1,Q2-C33-Bl-Rl,F,N,N,N,F
2,1,Q3-C11-Bl-Tl,UI,N,N,N,UI
2,1,Q3-C11-Gr-Ar,UI,N,N,N,UI
2,1,Q3-C12-Re-Rl,UI,N,N,N,UI
2,1,Q3-C12-Re-Ar,UI,N,N,N,UI
2,1,Q3-C13-Gr-Rl,UI,N,N,N,UI
2,1,Q3-C13-Gr-Cy,UI,N,N,N,UI
2,1,Q3-C21-Re-Rl,UI,N,N,N,UI
2,1,Q3-C21-Ye-Wr,UI,N,N,N,UI
2,1,Q3-C22-Ye-Cy,UI,N,N,N,UI
2,1,Q3-C22-Re-Cu,UI,N,N,N,UI
2,1,Q3-C23-Gr-Rl,UI,N,N,N,UI
2,1,Q3-C23-Re-Cu,UI,N,N,N,UI
2,1,Q3-C31-Gr-Ar,UI,N,N,N,UI
2,1,Q3-C31-Gr-Tl,UI,N,N,N,UI
2,1,Q3-C32-Bl-Rl,UI,N,N,N,UI
2,1,Q3-C32-Re-Cu,UI,N,N,N,UI
2,1,Q3-C33-Gr-Cy,UI,N,N,N,UI
2,1,Q3-C33-Ye-Ts,UI,N,N,N,UI
2,1,Q4-C11-Re-Wr,UI,N,N,N,UI
2,1,Q4-C11-Gr-Cu,A,M,DS,NI,UI
2,1,Q4-C12-Re-Tr,UI,N,N,N,UI
2,1,Q4-C12-Gr-Ar,UI,N,N,N,UI
2,1,Q4-C13-Ye-Cu,UI,N,N,N,UI
2,1,Q4-C13-Ye-Rl,UI,N,N,N,UI
2,1,Q4-C21-Gr-Ar,UI,N,N,N,UI
2,1,Q4-C21-Ye-Pr,UI,N,N,N,UI
2,1,Q4-C22-Gr-Cu,UI,N,N,N,UI
2,1,Q4-C22-Ye-Cy,UI,N,N,N,UI
2,1,Q4-C23-Re-Tl,UI,N,N,N,UI
2,1,Q4-C23-Gr-Tr,UI,N,N,N,UI
2,1,Q4-C31-Gr-Ts,UI,N,N,N,UI
2,1,Q4-C31-Re-Tr,UI,N,N,N,UI
2,1,Q4-C32-Ye-Pr,UI,N,N,N,UI
2,1,Q4-C32-Re-Ts,UI,N,N,N,UI
2,1,Q4-C33-Ye-Cu,A,M,DP,NI,UI
2,1,Q4-C33-Gr-Ts,UI,N,N,N,UI
2,2,Q1-C11-Bl-Cu,UI,N,N,N,UI
2,2,Q1-C11-Gr-Tl,UI,N,N,N,UI
2,2,Q1-C12-Bl-Cu,UI,N,N,N,UI
2,2,Q1-C12-Gr-Ts,UI,N,N,N,UI
2,2,Q1-C13-Bl-Cu,UI,N,N,N,UI
2,2,Q1-C13-Re-Ar,UI,N,N,N,UI
2,2,Q1-C21-Gr-Cu,UI,N,N,N,UI
2,2,Q1-C21-Bl-Rs,UI,N,N,N,UI
2,2,Q1-C22-Ye-Cu,UI,N,N,N,UI
2,2,Q1-C22-Gr-Cy,UI,N,N,N,UI
2,2,Q1-C23-Re-Cu,UI,N,N,N,UI
2,2,Q1-C23-Re-Ts,UI,N,N,N,UI
2,2,Q1-C31-Re-Ar,UI,N,N,N,UI
2,2,Q1-C31-Ye-Rs,UI,N,N,N,UI
2,2,Q1-C32-Ye-Rl,UI,N,N,N,UI
2,2,Q1-C32-Gr-Cy,UI,N,N,N,UI
2,2,Q1-C33-Gr-Cu,A,N,N,N,A
2,2,Q1-C33-Bl-Ar,UI,N,N,N,UI
2,2,Q2-C11-Ye-Cu,F,N,N,N,F
2,2,Q2-C11-Bl-Ts,F,N,N,N,F
2,2,Q2-C12-Ye-Cu,A,N,N,N,A
2,2,Q2-C12-Re-Pr,F,N,N,N,F
2,2,Q2-C13-Ye-Rs,F,N,N,N,F
2,2,Q2-C13-Bl-Cy,F,N,N,N,F
2,2,Q2-C21-Ye-Rs,F,N,N,N,F
2,2,Q2-C21-Gr-Pr,F,N,N,N,F
2,2,Q2-C22-Gr-Cu,F,N,N,N,F
2,2,Q2-C22-Bl-Rs,F,N,N,N,F
2,2,Q2-C23-Bl-Rl,F,N,N,N,F
2,2,Q2-C23-Bl-Cy,F,N,N,N,F
2,2,Q2-C31-Bl-Tr,F,N,N,N,F
2,2,Q2-C31-Ye-Ar,F,N,N,N,F
2,2,Q2-C32-Gr-Rl,F,N,N,N,F
2,2,Q2-C32-Bl-Wr,IF,N,N,N,F
2,2,Q2-C33-Bl-Cu,F,N,N,N,F
2,2,Q2-C33-Bl-Rl,F,N,N,N,F
2,2,Q3-C11-Bl-Tl,UI,N,N,N,UI
2,2,Q3-C11-Gr-Ar,UI,N,N,N,UI
2,2,Q3-C12-Re-Rl,UI,N,N,N,UI
2,2,Q3-C12-Re-Ar,UI,N,N,N,UI
2,2,Q3-C13-Gr-Rl,UI,N,N,N,UI
2,2,Q3-C13-Gr-Cy,UI,N,N,N,UI
2,2,Q3-C21-Re-Rl,UI,N,N,N,UI
2,2,Q3-C21-Ye-Wr,UI,N,N,N,UI
2,2,Q3-C22-Ye-Cy,UI,N,N,N,UI
2,2,Q3-C22-Re-Cu,UI,N,N,N,UI
2,2,Q3-C23-Gr-Rl,UI,N,N,N,UI
2,2,Q3-C23-Re-Cu,UI,N,N,N,UI
2,2,Q3-C31-Gr-Ar,UI,N,N,N,UI
2,2,Q3-C31-Gr-Tl,UI,N,N,N,UI
2,2,Q3-C32-Bl-Rl,UI,N,N,N,UI
2,2,Q3-C32-Re-Cu,UI,N,N,N,UI
2,2,Q3-C33-Gr-Cy,UI,N,N,N,UI
2,2,Q3-C33-Ye-Ts,UI,N,N,N,UI
2,2,Q4-C11-Re-Wr,UI,N,N,N,UI
2,2,Q4-C11-Gr-Cu,A,N,N,N,A
2,2,Q4-C12-Re-Tr,UI,N,N,N,UI
2,2,Q4-C12-Gr-Ar,UI,N,N,N,UI
2,2,Q4-C13-Ye-Cu,UI,N,N,N,UI
2,2,Q4-C13-Ye-Rl,UI,N,N,N,UI
2,2,Q4-C21-Gr-Ar,UI,N,N,N,UI
2,2,Q4-C21-Ye-Pr,UI,N,N,N,UI
2,2,Q4-C22-Gr-Cu,UI,N,N,N,UI
2,2,Q4-C22-Ye-Cy,UI,N,N,N,UI
2,2,Q4-C23-Re-Tl,UI,N,N,N,UI
2,2,Q4-C23-Gr-Tr,UI,N,N,N,UI
2,2,Q4-C31-Gr-Ts,UI,N,N,N,UI
2,2,Q4-C31-Re-Tr,UI,N,N,N,UI
2,2,Q4-C32-Ye-Pr,UI,N,N,N,UI
2,2,Q4-C32-Re-Ts,UI,N,N,N,UI
